uid,complexity
0076/00762279,4
0025/00258319,1
0009/00090811,7
0060/00602441,11
0001/00017133,6
0086/00865553,6
0058/00584137,4
0050/00508379,12
0029/00296267,3
0082/00823550,21
0068/00682032,3
0069/00693934,9
0046/00466894,4
0008/00080789,4
0063/00637145,14
0003/00036279,12
0069/00695770,4
0096/00962212,4
0053/00539274,4
0085/00851447,6
0051/00514478,4
0099/00993920,8
0058/00585308,26
0082/00820170,23
0050/00508625,36
0021/00218977,19
0081/00816518,5
0027/00270681,4
0043/00438800,10
0049/00494301,2
0024/00247807,37
0043/00431969,8
0079/00792351,4
0034/00341317,6
0030/00308400,12
0087/00879689,1
0088/00885189,2
0015/00157586,16
0070/00705006,4
0041/00410875,4
0011/00111640,4
0046/00466569,2
0002/00020874,4
0072/00721110,12
0071/00710091,6
0093/00939140,4
0013/00131342,26
0043/00439573,24
0090/00906024,4
0095/00957534,4
0038/00382716,18
0031/00319696,4
0071/00718001,10
0029/00290487,1
0022/00223005,4
0049/00493861,8
0008/00080171,20
0089/00891452,12
0013/00138889,13
0062/00629695,4
0080/00808424,2
0048/00488889,4
0078/00783188,2
0023/00235296,6
0014/00146371,4
0029/00299250,12
0023/00237328,16
0068/00680104,4
0029/00299690,4
0032/00325237,5
0059/00598174,6
0004/00041719,1
0070/00708465,31
0039/00390118,4
0060/00600289,10
0024/00241317,9
0055/00558415,4
0041/00414292,4
0053/00531475,16
0005/00057078,5
0072/00721611,20
0088/00888192,8
0019/00197189,1
0057/00574374,9
0096/00968563,12
0028/00281816,8
0071/00717966,8
0047/00471894,10
0032/00323615,8
0045/00459442,4
0081/00819858,24
0098/00988662,2
0095/00955096,8
0065/00652740,4
0063/00638694,1
0015/00154480,24
0098/00981644,9
0093/00932824,4
0095/00959607,8
0030/00301871,3
0091/00910476,12
0049/00494286,16
0080/00805102,3
0027/00271099,8
0054/00541550,4
0016/00168298,5
0069/00692320,1
0087/00878266,2
0031/00317599,12
0062/00624515,13
0078/00787896,3
0023/00239014,13
0088/00884914,15
0084/00843005,8
0029/00296101,4
0001/00014720,12
0092/00920024,4
0038/00384024,4
0036/00362289,5
0030/00307020,33
0041/00411427,6
0027/00273053,7
0068/00688523,4
0029/00290258,8
0077/00772203,4
0062/00623547,14
0073/00736593,14
0046/00467335,2
0056/00569570,26
0036/00364376,4
0081/00819291,21
0012/00122234,4
0052/00521997,4
0033/00338862,5
0093/00937946,8
0068/00682730,4
0009/00096740,12
0040/00408544,4
0084/00841139,4
0025/00255242,8
0057/00575641,9
0094/00949487,1
0017/00174878,12
0044/00443322,4
0078/00786805,2
0031/00314151,7
0056/00560666,22
0082/00826876,4
0007/00071663,8
0001/00017277,6
0069/00691269,18
0028/00283887,6
0088/00884177,1
0011/00110081,34
0052/00521845,1
0003/00030970,4
0074/00745428,3
0029/00296043,8
0036/00362919,1
0074/00742340,4
0039/00390428,7
0060/00606009,4
0013/00138848,2
0086/00864628,8
0097/00973031,2
0024/00249469,8
0028/00284027,20
0022/00225709,4
0008/00083084,4
0030/00309128,2
0035/00353911,4
0059/00590840,4
0071/00714777,4
0058/00582706,32
0049/00499517,2
0075/00753435,1
0091/00911200,6
0001/00018217,3
0061/00611921,5
0022/00224864,4
0044/00440639,4
0043/00434984,12
0069/00693170,16
0027/00272653,5
0045/00457061,4
0094/00946554,4
0004/00046110,12
0027/00274155,22
0053/00532557,4
0069/00691324,2
0047/00473265,14
0006/00063020,1
0068/00689639,12
0004/00045248,2
0081/00811753,8
0041/00412413,1
0095/00957395,2
0083/00834477,7
0022/00223241,4
0074/00748548,4
0068/00688708,4
0026/00262670,15
0043/00437889,3
0027/00272814,5
0083/00835028,4
0070/00702140,10
0005/00051873,4
0051/00519136,16
0029/00290102,10
0072/00723447,6
0053/00530545,17
0096/00963413,12
0057/00571419,4
0055/00551343,8
0055/00550336,24
0069/00695152,6
0043/00437815,1
0071/00713546,12
0067/00678129,6
0074/00748437,41
0082/00820807,4
0019/00190946,2
0095/00951610,3
0030/00307743,12
0068/00684935,10
0033/00334005,2
0029/00294602,4
0012/00121035,12
0076/00765456,4
0056/00564679,4
0050/00503124,6
0049/00493619,6
0023/00233929,4
0045/00450122,4
0001/00011434,12
0036/00361531,6
0026/00264044,12
0017/00177967,7
0078/00780064,1
0027/00273934,4
0089/00893540,22
0004/00049383,2
0023/00237090,14
0060/00602385,4
0049/00492917,2
0059/00593080,3
0023/00237162,1
0022/00220935,1
0087/00874529,17
0066/00664498,11
0035/00350212,4
0053/00535288,4
0025/00250407,1
0041/00411298,4
0054/00540380,3
0027/00270845,5
0078/00781926,4
0037/00378119,4
0029/00299101,4
0066/00663449,26
0023/00231511,6
0002/00029996,31
0093/00932267,2
0051/00512163,4
0095/00957255,4
0051/00518244,8
0050/00503019,4
0006/00067320,4
0090/00905015,8
0032/00323517,10
0029/00293349,14
0041/00419352,5
0010/00106153,2
0061/00613576,20
0088/00881771,3
0056/00567809,4
0058/00585530,4
0088/00885874,4
0041/00419623,8
0033/00336684,4
0041/00417681,2
0068/00682627,1
0008/00089811,11
0033/00336589,2
0045/00456763,4
0007/00070985,6
0057/00571757,10
0039/00396820,8
0035/00357968,4
0023/00238191,2
0078/00784277,1
0043/00438284,2
0053/00537191,21
0013/00133413,24
0044/00444578,17
0030/00307732,12
0002/00022629,1
0004/00047718,8
0044/00446168,26
0069/00696522,8
0093/00935983,8
0094/00944486,4
0080/00807772,4
0078/00784707,7
0030/00306360,6
0087/00874505,4
0098/00988150,12
0005/00058715,5
0083/00832719,7
0034/00341755,8
0048/00484857,8
0071/00715519,16
0038/00389732,20
0085/00856475,4
0020/00209437,6
0036/00361620,12
0004/00047074,4
0006/00061703,8
0024/00244001,32
0074/00743985,8
0018/00183762,24
0011/00117307,8
0030/00304689,7
0023/00230709,4
0089/00890961,2
0020/00200464,4
0032/00329152,36
0029/00297336,18
0097/00970877,4
0002/00023049,5
0091/00910013,4
0058/00586868,4
0089/00899664,18
0035/00354476,2
0038/00387189,7
0021/00213465,4
0030/00304122,20
0046/00467802,4
0019/00197282,1
0077/00770814,6
0092/00920772,1
0086/00869082,16
0095/00957718,1
0078/00780934,13
0057/00572565,4
0056/00568086,4
0010/00102175,10
0058/00583950,8
0099/00996538,4
0057/00572073,4
0084/00842685,16
0023/00236109,9
0083/00836678,4
0002/00026909,10
0073/00738754,4
0005/00053402,5
0054/00540599,4
0098/00987603,4
0054/00549969,4
0058/00584519,4
0001/00013933,4
0020/00206869,8
0029/00299325,20
0070/00704042,1
0069/00698935,2
0061/00613562,15
0024/00242227,2
0094/00940275,4
0077/00770715,6
0009/00094438,1
0089/00890108,4
0062/00626537,8
0027/00270450,4
0038/00380055,4
0052/00523629,8
0061/00611845,12
0023/00235319,8
0018/00187431,37
0098/00984228,3
0018/00182985,16
0006/00063701,38
0043/00430476,1
0072/00721014,4
0070/00700744,4
0081/00819322,1
0098/00988911,2
0006/00062817,23
0049/00496963,7
0019/00194716,8
0061/00613930,4
0093/00936202,4
0036/00365512,1
0084/00842879,2
0084/00847342,26
0096/00967664,8
0013/00134541,8
0026/00265650,8
0073/00737541,8
0036/00363394,9
0066/00664612,2
0097/00978773,1
0078/00786293,4
0069/00696154,18
0057/00574397,1
0065/00658270,7
0033/00334608,8
0076/00762919,4
0010/00102054,14
0015/00155613,4
0043/00430940,2
0015/00156529,10
0025/00257655,10
0012/00124247,1
0003/00038771,1
0064/00640701,20
0028/00284248,4
0025/00252706,6
0082/00827873,18
0035/00350635,24
0065/00653878,6
0027/00272635,5
0034/00348293,8
0036/00367416,12
0099/00993305,3
0073/00739842,4
0035/00352682,4
0006/00065675,6
0094/00943110,2
0057/00572160,4
0046/00461759,8
0028/00287403,2
0048/00483109,8
0078/00780967,1
0083/00832211,4
0002/00029146,4
0041/00417794,36
0032/00321900,8
0058/00584103,4
0078/00787058,4
0046/00467807,1
0026/00263517,4
0029/00295104,1
0066/00668636,4
0089/00892529,9
0078/00787853,1
0094/00946704,6
0001/00017734,6
0050/00501496,8
0027/00276685,6
0018/00183603,26
0026/00267893,4
0011/00114548,8
0049/00499749,24
0065/00656319,4
0081/00812618,2
0034/00349972,18
0087/00874527,8
0001/00015778,14
0008/00080980,20
0055/00557752,4
0078/00786014,2
0026/00267712,4
0054/00547042,6
0045/00455955,1
0092/00929843,2
0086/00869276,4
0018/00187840,4
0016/00161362,1
0043/00434057,4
0036/00361374,4
0041/00419625,5
0046/00467897,21
0096/00961861,4
0042/00422296,9
0091/00912931,6
0047/00478464,5
0016/00166843,8
0001/00010899,17
0070/00709686,2
0036/00368991,8
0006/00063472,5
0027/00270768,1
0098/00983960,8
0056/00569536,12
0066/00663637,12
0076/00761500,8
0008/00080139,2
0077/00773623,2
0019/00191600,1
0099/00996856,4
0014/00148764,2
0090/00908820,24
0048/00481022,12
0098/00985133,2
0059/00598354,6
0059/00594694,25
0084/00845496,12
0097/00973452,4
0026/00266714,12
0043/00432140,8
0074/00748947,5
0036/00366006,8
0049/00492792,3
0048/00481174,6
0033/00335978,4
0057/00572688,14
0027/00276680,12
0066/00666510,2
0081/00816542,2
0061/00613748,8
0049/00494425,18
0035/00351230,5
0092/00928872,7
0065/00650214,8
0059/00591537,4
0056/00561818,4
0044/00441402,4
0039/00396494,2
0027/00278136,8
0026/00263765,5
0024/00247160,12
0093/00937418,8
0079/00795451,15
0045/00454228,4
0094/00942960,8
0005/00058207,10
0096/00963376,29
0032/00323531,27
0065/00655067,10
0027/00270218,14
0091/00912669,1
0023/00230571,4
0065/00656157,1
0079/00791790,33
0039/00393802,37
0092/00920580,2
0084/00848102,8
0013/00134668,4
0025/00253330,1
0067/00678987,7
0024/00245394,5
0083/00831573,4
0056/00560008,7
0082/00825395,9
0085/00857304,1
0074/00746034,8
0023/00232633,10
0028/00285323,12
0058/00584294,37
0023/00236568,14
0050/00509017,2
0010/00103544,4
0051/00512699,21
0012/00126197,2
0009/00093880,4
0085/00851481,4
0080/00805570,4
0027/00271437,12
0002/00026306,9
0046/00464472,2
0041/00412459,26
0004/00041342,16
0002/00025909,4
0072/00723510,21
0064/00644655,14
0009/00096837,14
0048/00485042,4
0016/00162538,4
0069/00696107,24
0024/00241778,7
0031/00312188,12
0092/00925070,4
0093/00930775,6
0028/00285669,30
0055/00558156,30
0002/00020408,20
0045/00452659,9
0029/00294282,4
0090/00908594,26
0071/00718293,10
0055/00554006,24
0078/00789202,8
0061/00613163,7
0092/00928530,4
0012/00122875,6
0063/00639661,4
0068/00682063,8
0069/00697295,38
0062/00624864,32
0036/00360785,6
0070/00709679,2
0033/00335724,4
0081/00814849,6
0048/00487383,4
0048/00487279,21
0063/00635620,13
0053/00537686,3
0024/00240981,10
0089/00891279,4
0025/00255781,3
0073/00733742,4
0030/00300929,42
0063/00632441,6
0096/00960366,9
0057/00571829,4
0075/00754356,8
0017/00176908,4
0048/00482111,2
0029/00292248,12
0043/00438259,4
0090/00907858,24
0063/00636190,2
0005/00051245,4
0030/00308268,12
0071/00711808,31
0082/00820674,1
0041/00417968,2
0089/00894878,2
0086/00860019,3
0056/00564543,1
0057/00573035,4
0037/00371410,9
0099/00999800,12
0078/00789028,23
0047/00476833,19
0028/00280090,1
0009/00098441,12
0096/00966244,13
0008/00085470,4
0037/00377066,8
0077/00773447,1
0097/00970428,4
0029/00297346,4
0036/00369304,9
0052/00527510,7
0019/00195026,29
0024/00244530,15
0040/00405390,12
0048/00482290,2
0076/00764274,24
0079/00791317,4
0038/00388507,24
0093/00932608,2
0042/00421791,8
0046/00467623,2
0027/00271203,9
0043/00433178,1
0093/00936119,8
0004/00044240,8
0006/00068824,4
0011/00111551,10
0065/00655317,8
0061/00612253,14
0046/00460558,1
0088/00881572,1
0094/00949704,10
0052/00527655,12
0060/00603318,21
0057/00575853,4
0024/00248451,12
0056/00568707,4
0086/00866321,13
0042/00428109,34
0049/00490219,24
0084/00842493,4
0065/00656943,1
0066/00666846,4
0061/00612141,7
0022/00223560,4
0059/00594992,8
0081/00815403,8
0057/00577139,14
0082/00828777,4
0043/00437739,4
0021/00214976,14
0095/00951568,8
0047/00474046,6
0001/00016198,8
0012/00124816,26
0005/00059133,12
0058/00588358,12
0047/00479439,5
0069/00690844,4
0097/00978269,1
0006/00067863,8
0027/00273845,4
0013/00136968,9
0083/00835008,4
0013/00130003,2
0093/00937781,2
0018/00182934,8
0041/00411996,12
0023/00230788,4
0087/00873304,4
0075/00756912,2
0026/00260177,38
0052/00529495,4
0081/00814682,28
0096/00965979,2
0056/00567835,1
0099/00998677,17
0021/00215521,1
0010/00108512,14
0093/00936026,5
0035/00351798,1
0036/00360655,8
0075/00757801,4
0023/00230700,4
0095/00959085,1
0019/00192616,1
0032/00326399,4
0035/00350495,4
0025/00250820,4
0065/00658348,4
0032/00323539,11
0072/00720476,4
0098/00988773,21
0076/00760568,1
0016/00169148,8
0070/00709567,4
0037/00372325,4
0064/00641955,1
0027/00277854,6
0029/00294293,20
0063/00630806,29
0010/00105260,8
0082/00829697,4
0064/00648054,6
0031/00310113,24
0073/00737539,8
0001/00012448,8
0001/00017117,14
0041/00411253,4
0093/00932949,27
0036/00367420,4
0076/00762095,28
0018/00182377,7
0039/00397631,21
0066/00666205,1
0065/00654364,12
0030/00300439,8
0010/00100326,4
0006/00066618,38
0009/00095196,8
0061/00611360,4
0099/00997138,14
0060/00608065,8
0038/00388358,4
0012/00125485,1
0080/00801944,8
0050/00508761,20
0042/00421584,2
0033/00333493,4
0062/00629105,5
0004/00046002,6
0016/00166557,1
0018/00189806,21
0006/00063301,3
0040/00406449,4
0026/00260459,1
0024/00248479,4
0076/00763572,4
0095/00952104,4
0055/00554963,4
0079/00795066,2
0024/00241195,9
0032/00321970,1
0069/00695977,4
0086/00866634,10
0056/00569112,1
0058/00583558,8
0015/00157071,16
0031/00310176,4
0076/00768562,4
0003/00039340,21
0021/00212695,1
0087/00874488,4
0062/00627546,1
0002/00025220,8
0082/00821737,6
0071/00718622,20
0040/00404812,7
0064/00646413,1
0021/00219895,10
0017/00173275,16
0098/00989574,1
0043/00438807,13
0080/00801151,1
0046/00469472,4
0037/00371539,4
0062/00629645,4
0098/00984533,18
0051/00510047,28
0032/00325658,4
0032/00327520,7
0041/00416466,4
0092/00923366,4
0091/00912459,4
0060/00601221,12
0082/00820095,1
0083/00838879,12
0050/00507120,22
0091/00915340,4
0082/00824415,4
0097/00975258,16
0012/00127850,2
0039/00392648,4
0044/00440375,8
0048/00482483,19
0059/00591055,6
0008/00082736,25
0052/00527517,4
0010/00104431,2
0034/00344688,4
0088/00882238,10
0099/00994608,4
0050/00504389,8
0097/00973230,1
0004/00047119,4
0053/00534417,4
0024/00247510,29
0003/00030948,4
0086/00867257,2
0075/00751424,14
0011/00119565,4
0073/00734306,24
0089/00897819,12
0016/00160325,13
0031/00313154,36
0067/00676237,36
0034/00344664,20
0042/00424818,2
0078/00788111,26
0033/00335436,7
0012/00127192,9
0001/00019797,8
0000/00002606,1
0073/00737987,13
0080/00803623,15
0003/00033474,24
0058/00588993,4
0054/00540888,8
0079/00790495,16
0010/00106635,7
0031/00319073,36
0020/00201897,8
0076/00765878,8
0091/00917740,1
0061/00613286,20
0031/00313321,6
0008/00088622,5
0089/00893700,13
0039/00395357,2
0035/00350686,8
0005/00050414,4
0030/00307859,8
0044/00444573,2
0030/00306658,16
0004/00043632,2
0001/00014527,1
0071/00715949,1
0026/00266121,1
0036/00369401,2
0063/00638294,16
0079/00796925,1
0089/00890273,1
0041/00413652,5
0021/00214607,4
0080/00804933,1
0047/00478635,1
0088/00881895,1
0023/00239463,4
0025/00259038,8
0085/00857342,24
0090/00906487,4
0098/00981764,8
0084/00843131,6
0010/00101557,16
0076/00761118,5
0011/00119949,26
0028/00285409,8
0010/00108978,5
0056/00566902,4
0025/00253983,3
0061/00614104,33
0041/00410038,4
0060/00604599,17
0010/00101152,18
0031/00316042,15
0048/00480123,8
0031/00318535,4
0040/00402858,2
0033/00333187,3
0067/00673018,4
0021/00215550,2
0042/00422565,40
0064/00642185,4
0088/00884667,4
0049/00497223,9
0068/00685199,4
0058/00580415,8
0016/00168332,5
0083/00836899,17
0012/00120906,5
0094/00949366,28
0001/00014557,1
0027/00271143,8
0039/00395326,2
0011/00115924,8
0050/00506083,16
0084/00841784,7
0059/00593682,6
0056/00567034,19
0026/00266135,12
0020/00207961,4
0093/00932084,2
0063/00635536,12
0075/00759868,8
0017/00170704,2
0047/00473493,4
0050/00506679,4
0098/00983324,2
0047/00470484,2
0069/00699411,12
0069/00696286,2
0059/00590987,4
0050/00500602,5
0076/00769556,16
0005/00059993,21
0050/00505460,8
0099/00992556,2
0062/00621627,33
0066/00662775,6
0095/00951515,2
0077/00775691,2
0084/00843648,8
0039/00391690,24
0077/00770353,6
0045/00453889,25
0076/00762193,32
0065/00655072,4
0050/00500934,13
0049/00494098,5
0068/00682784,4
0082/00825967,8
0014/00141198,2
0095/00951840,4
0022/00228814,10
0049/00499783,4
0074/00744011,28
0065/00650725,17
0070/00706127,4
0034/00349331,4
0003/00037973,1
0081/00812325,4
0098/00980888,15
0036/00361489,22
0097/00970878,32
0085/00856150,2
0012/00123723,7
0075/00753911,2
0036/00368210,4
0083/00831729,15
0003/00032361,4
0035/00352167,9
0037/00375785,6
0064/00644982,8
0083/00835964,6
0007/00072442,21
0087/00878715,4
0015/00156784,6
0071/00712056,13
0004/00046285,4
0088/00882578,12
0045/00455818,14
0061/00612348,1
0026/00264369,4
0035/00359673,5
0091/00916111,6
0007/00079328,24
0082/00829700,4
0053/00533456,6
0067/00676822,8
0071/00710974,32
0045/00453251,4
0070/00701050,8
0030/00309330,4
0093/00934688,4
0059/00592233,28
0076/00760025,18
0000/00008400,4
0065/00651495,12
0095/00955380,5
0052/00528997,8
0039/00395711,4
0040/00403970,7
0021/00216552,2
0039/00392791,4
0048/00486638,4
0057/00570954,7
0086/00860436,5
0036/00361728,12
0051/00519278,12
0092/00927637,12
0050/00507980,43
0029/00294252,8
0059/00590115,38
0098/00981990,2
0097/00977639,8
0064/00642590,5
0049/00499397,12
0057/00574480,1
0074/00741294,8
0058/00587389,5
0034/00347995,12
0007/00070872,4
0018/00183855,6
0068/00686684,24
0041/00411664,6
0012/00124679,14
0097/00973002,12
0074/00743228,6
0040/00409955,4
0097/00978643,4
0003/00036226,12
0056/00568935,3
0049/00499791,4
0085/00858007,12
0069/00698889,4
0083/00835096,4
0053/00530195,6
0076/00765457,4
0042/00421684,8
0020/00202336,4
0097/00975134,6
0082/00828614,1
0019/00191442,5
0045/00458614,12
0020/00209095,12
0014/00143628,1
0080/00805235,4
0070/00708230,2
0008/00082503,4
0056/00566880,12
0020/00209899,1
0059/00594154,6
0087/00877744,8
0068/00686214,6
0070/00703007,10
0031/00313056,1
0013/00133067,4
0028/00285716,15
0077/00772910,1
0036/00362238,12
0035/00351274,4
0064/00642455,8
0070/00708484,6
0034/00340352,4
0068/00687320,1
0005/00059122,5
0045/00451827,8
0099/00999652,7
0038/00382936,3
0006/00068601,4
0046/00467379,2
0072/00720802,4
0028/00287328,34
0081/00812499,6
0009/00096366,12
0077/00779243,27
0030/00301054,4
0081/00816088,24
0033/00331167,4
0005/00057886,20
0005/00054184,4
0076/00760959,4
0050/00503852,4
0033/00335738,32
0077/00774065,48
0087/00873212,2
0032/00321105,16
0064/00643472,16
0036/00360901,3
0065/00655008,1
0057/00572015,4
0021/00210249,13
0038/00380344,5
0029/00296927,25
0095/00951951,4
0050/00508378,4
0089/00899160,4
0053/00530217,4
0099/00995679,6
0056/00568379,8
0006/00061304,4
0030/00302973,1
0085/00852667,11
0070/00705744,4
0012/00128966,4
0013/00136574,1
0031/00317751,4
0016/00167741,2
0065/00656637,12
0001/00017172,5
0002/00024806,4
0027/00278451,16
0079/00797243,6
0057/00574156,16
0075/00759266,12
0031/00319599,20
0014/00143955,4
0094/00943082,4
0056/00561455,1
0098/00984369,2
0013/00138663,20
0051/00517745,4
0037/00378373,4
0045/00459360,8
0000/00003891,3
0089/00892191,32
0019/00192459,4
0046/00466301,6
0019/00198978,8
0015/00153678,3
0013/00137030,9
0038/00380112,4
0055/00558039,4
0031/00316582,6
0005/00059013,9
0026/00268609,5
0095/00952513,7
0022/00228061,1
0027/00271191,8
0052/00525814,4
0008/00080900,2
0011/00119330,4
0001/00013207,4
0051/00514049,4
0016/00161137,4
0035/00353293,8
0087/00878901,10
0035/00353191,20
0085/00854885,20
0027/00270589,39
0025/00255207,1
0085/00851434,4
0070/00701802,3
0084/00845543,7
0090/00909177,27
0071/00717128,6
0058/00582200,6
0087/00871433,1
0072/00727598,8
0005/00051838,8
0026/00267506,30
0086/00864537,16
0079/00792938,2
0013/00132286,10
0068/00682250,8
0020/00202513,2
0074/00741648,12
0051/00514028,4
0074/00742583,2
0057/00570952,7
0045/00455579,12
0040/00409260,5
0008/00080607,4
0089/00892621,21
0008/00082853,4
0095/00950892,4
0005/00056507,2
0031/00313386,7
0025/00254238,13
0016/00166993,2
0029/00291831,10
0000/00006109,8
0023/00235009,4
0004/00043230,10
0020/00201583,2
0076/00761013,8
0099/00997303,4
0077/00779282,8
0092/00923239,7
0050/00503552,4
0069/00694684,8
0094/00943239,8
0086/00864526,13
0072/00724217,5
0071/00719604,11
0069/00696379,5
0015/00158435,2
0072/00728499,8
0085/00853402,6
0016/00166686,9
0000/00005017,10
0049/00495113,4
0049/00492802,8
0016/00165366,1
0073/00738867,8
0082/00825663,31
0068/00689694,5
0008/00089461,2
0061/00611682,20
0026/00263581,14
0015/00155189,4
0035/00358547,1
0014/00140564,11
0035/00358603,4
0013/00130786,9
0062/00625537,4
0013/00136615,15
0044/00445689,2
0056/00565145,8
0061/00611689,4
0048/00489958,4
0088/00880238,17
0078/00780510,27
0034/00345482,22
0030/00302519,6
0090/00905958,3
0033/00333486,14
0075/00753710,2
0059/00590082,4
0085/00851074,4
0092/00924811,18
0092/00921889,4
0006/00065700,5
0047/00471274,10
0081/00814670,7
0030/00300070,6
0031/00319008,27
0055/00557468,40
0062/00625604,21
0082/00821281,8
0076/00762244,4
0043/00431348,8
0050/00500273,4
0035/00357727,16
0022/00221231,1
0091/00910016,27
0042/00422065,8
0004/00045353,16
0073/00739014,4
0027/00276459,14
0081/00816842,29
0008/00083168,5
0008/00082716,28
0045/00450869,6
0009/00093066,4
0019/00197384,2
0067/00677309,14
0026/00263790,4
0023/00236375,5
0032/00328301,1
0048/00489149,10
0068/00683674,16
0090/00907853,6
0087/00878726,1
0032/00327458,4
0089/00895922,7
0079/00797487,4
0010/00102089,22
0039/00394833,7
0086/00864247,8
0075/00751789,2
0058/00589267,11
0045/00451955,1
0048/00482345,24
0044/00444576,8
0056/00566546,9
0025/00258359,5
0046/00464348,4
0002/00022089,7
0017/00177878,33
0009/00092398,6
0081/00812507,4
0040/00402815,8
0008/00083690,9
0004/00041749,4
0039/00397814,25
0082/00827533,14
0048/00481414,4
0081/00817073,8
0049/00493837,6
0040/00404968,4
0065/00650680,20
0087/00872944,3
0067/00677872,4
0054/00542825,4
0000/00001227,1
0079/00792254,8
0028/00280218,5
0014/00145561,20
0052/00523630,8
0034/00345042,2
0038/00387517,8
0057/00570854,12
0005/00052837,1
0035/00355183,1
0046/00468247,12
0043/00435084,9
0017/00174426,5
0097/00970037,4
0082/00821631,6
0008/00081729,4
0082/00827574,1
0099/00999004,2
0032/00322717,2
0075/00759535,12
0087/00873104,8
0022/00220945,1
0088/00882918,4
0091/00910906,16
0059/00594764,4
0054/00546204,4
0033/00332454,1
0072/00721639,6
0029/00298549,1
0028/00286854,8
0043/00438432,3
0038/00380145,4
0029/00292126,1
0035/00359108,8
0097/00979620,4
0055/00550801,1
0092/00923199,16
0080/00807987,3
0025/00256727,1
0061/00612267,4
0007/00071447,11
0033/00332848,8
0076/00769229,4
0090/00903762,8
0086/00866415,6
0045/00454975,9
0092/00920165,17
0077/00777046,10
0022/00220687,10
0099/00990926,9
0060/00602841,2
0063/00633811,8
0047/00470050,8
0082/00827262,1
0029/00294978,7
0087/00875951,17
0031/00316473,4
0016/00161731,4
0030/00306060,16
0095/00950042,5
0074/00747338,4
0004/00041759,7
0091/00913256,7
0091/00915265,20
0042/00423332,7
0078/00789326,4
0098/00989710,4
0026/00262442,4
0088/00882263,20
0080/00800375,4
0067/00672274,4
0098/00988235,4
0035/00357540,11
0002/00026850,17
0069/00693514,8
0085/00852078,2
0030/00300937,35
0058/00586370,7
0051/00517025,4
0030/00300248,8
0013/00138267,12
0097/00975850,4
0038/00387361,9
0028/00281917,9
0025/00252469,5
0002/00020886,6
0055/00550205,7
0094/00942260,23
0019/00196734,1
0054/00540772,6
0076/00760608,4
0066/00669774,16
0009/00096693,8
0003/00036414,4
0049/00499945,6
0004/00047877,1
0033/00332509,4
0013/00137033,17
0028/00289999,8
0005/00050625,10
0034/00343242,4
0005/00052355,5
0068/00683335,2
0000/00004433,4
0056/00560009,19
0058/00588882,8
0030/00307144,8
0011/00117718,4
0019/00190609,12
0056/00562287,5
0051/00519135,6
0014/00149452,10
0047/00477199,13
0052/00522489,20
0022/00228247,4
0059/00593890,20
0038/00387727,4
0094/00941219,18
0072/00728323,4
0007/00074657,4
0086/00866332,5
0096/00966861,3
0066/00669288,1
0034/00342942,15
0046/00464146,4
0026/00262689,1
0092/00920055,16
0003/00032022,2
0030/00301406,5
0026/00260791,2
0076/00766721,12
0099/00996562,8
0083/00830759,1
0081/00818499,6
0027/00271129,5
0046/00462175,13
0026/00266214,1
0037/00375638,10
0066/00664835,1
0098/00986751,5
0063/00635640,4
0037/00374537,6
0046/00467823,4
0011/00118999,4
0029/00291769,4
0035/00359481,6
0077/00773353,1
0029/00296643,20
0006/00067252,5
0063/00637273,2
0008/00089420,21
0022/00220818,9
0017/00175347,4
0049/00492547,4
0074/00742244,6
0080/00807568,24
0064/00640579,12
0022/00227328,10
0062/00627769,1
0093/00939653,4
0020/00202896,10
0051/00519321,4
0041/00415057,4
0000/00003178,4
0094/00948148,16
0025/00254252,4
0066/00662476,26
0095/00953168,1
0064/00640007,4
0021/00218821,4
0089/00894768,10
0004/00044119,4
0041/00419382,8
0079/00791944,5
0010/00103546,2
0002/00027190,4
0062/00621605,4
0080/00807967,6
0027/00272499,4
0018/00182744,11
0015/00153162,42
0091/00910004,12
0032/00321588,9
0022/00229096,3
0030/00308708,24
0087/00870384,16
0073/00733074,9
0034/00348907,14
0018/00187039,6
0065/00650379,5
0046/00465653,26
0048/00486361,4
0074/00747342,4
0018/00181715,1
0021/00217201,1
0041/00417809,19
0010/00104274,4
0075/00753849,8
0044/00444037,4
0091/00911802,4
0014/00145425,2
0045/00451752,2
0011/00116821,22
0075/00759007,8
0072/00720810,18
0031/00317681,12
0024/00246243,4
0012/00120628,3
0085/00859046,4
0028/00280366,4
0003/00035657,24
0047/00475119,4
0079/00796754,8
0036/00361548,6
0034/00345234,8
0027/00271313,7
0042/00427928,9
0048/00485816,22
0062/00623537,14
0021/00219426,2
0079/00796912,12
0085/00858357,8
0005/00059031,4
0055/00553240,14
0086/00860988,4
0062/00626331,1
0070/00700698,34
0056/00566369,4
0097/00976410,8
0093/00939473,17
0099/00994863,2
0027/00272046,22
0032/00320691,4
0045/00450121,8
0048/00482828,4
0093/00936214,4
0043/00431985,4
0056/00561506,18
0016/00164386,8
0093/00934734,12
0053/00534639,4
0088/00888546,12
0068/00686541,24
0068/00687075,11
0001/00017231,4
0066/00661774,4
0004/00049881,8
0004/00042158,6
0027/00272780,5
0056/00569864,10
0057/00571411,4
0052/00525878,1
0006/00067114,12
0098/00984645,4
0080/00806600,11
0067/00674354,8
0009/00095601,2
0068/00681759,28
0027/00279117,25
0010/00103968,9
0027/00277521,4
0018/00182928,6
0040/00407345,2
0004/00044192,4
0018/00188610,7
